# Shortfin Mako Shark (Isurus oxyrinchus) Growth Data - VERIFIED FROM PDF SOURCES
# ==================================================================================
# 
# This CSV contains age-length-weight data derived from VALIDATED von Bertalanffy
# and Gompertz growth parameters published in peer-reviewed studies.
#
# HOW TO VERIFY THIS DATA:
# --------------------------
# 1. Each row includes source_pdf and pdf_reference columns
# 2. The PDF files are included in this repository - open them to verify parameters
# 3. Length values are calculated using the growth equations with published parameters
# 4. Weight is calculated using: W(kg) = 4.4e-6 * FL(cm)^3.14 (Kohler et al. 1996)
#
# PRIMARY SOURCES (PDF files in repository):
# --------------------------------------------
# 1. Natanson et al. 2006:
#    PDF: Validated_age_and_growth_estimates_for_the_shortfi.pdf
#    Citation: Natanson LJ et al. (2006) Validated Age and Growth Estimates for the
#              Shortfin Mako in the North Atlantic Ocean. Environ Biol Fish 77:367-383
#    Parameters: Table 1 (page 10)
#    Male: L_inf=253.3cm, K=0.125/yr, L0=71.6cm (3-param von Bertalanffy)
#    Female: L_inf=365.6cm, K=0.087/yr, L0=88.4cm (3-param Gompertz)
#
# 2. Semba et al. 2009:
#    PDF: Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf
#    Citation: Semba Y et al. (2009) Age and growth analysis of the shortfin mako
#              in the western and central North Pacific. Environ Biol Fish 84:377-391
#    Parameters: Table 2 (page 9)
#    Male: L_inf=231.0cm PCL, K=0.16/yr, L0=59.7cm
#    Female: L_inf=308.3cm PCL, K=0.090/yr, L0=59.7cm
#    Note: PCL converted to FL using: FL = 1.10*PCL + 8.1 (Bishop 2004)
#
# 3. Groeneveld et al. 2014:
#    PDF: 2014_Makobiology_MFR.pdf
#    Citation: Groeneveld JC et al. (2014) Population structure and biology of
#              shortfin mako in the SW Indian Ocean. Marine Freshwater Res 65:1045-1058
#    Parameters: Page 8 (L_inf=285.4cm, K=0.113/yr, L0=90.4cm sex-pooled)
#
# LENGTH-WEIGHT RELATIONSHIP:
# W(kg) = 4.4e-6 * FL(cm)^3.14
# Source: Kohler NE et al. (1996) NOAA Tech. Memo. NMFS-NE-110
#
# GROWTH EQUATIONS:
# Von Bertalanffy: L(t) = L_inf - (L_inf - L0) * exp(-K * t)
# Gompertz: L(t) = L_inf * exp(ln(L0/L_inf) * exp(-K * t))
#
shark_id,age_years,length_FL_cm,mass_kg,sex,region,source_study,source_pdf,pdf_reference,growth_model,L_inf_cm,K_per_year,L0_cm,n_original_samples
WES_M001,0,71.6,2.9,M,Western_North_Atlantic,Natanson_2006_WNA_Male,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,vbgf,253.3,0.125,71.6,118
WES_F042,11,211.9,88.7,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F043,12,221.8,102.3,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F044,13,231.2,116.6,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F045,14,240.2,131.4,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F046,15,248.8,146.7,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F047,16,256.9,162.2,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F048,17,264.6,177.9,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F049,18,271.8,193.6,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F050,19,278.6,209.2,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F051,20,285.0,224.6,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F052,21,290.9,239.8,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F053,22,296.5,254.5,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F054,23,301.8,268.9,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F055,24,306.6,282.7,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F056,25,311.1,296.0,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F057,26,315.4,308.8,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F058,27,319.3,321.0,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F059,28,322.9,332.6,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F060,29,326.2,343.6,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F061,30,329.4,353.9,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F062,31,332.2,363.7,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_F063,32,334.9,373.0,F,Western_North_Atlantic,Natanson_2006_WNA_Female,Validated_age_and_growth_estimates_for_the_shortfi.pdf,Validated_age_and_growth_estimates_for_the_shortfi.pdf; Table 1; Page 10,gompertz,365.6,0.087,88.4,140
WES_M064,0,73.8,3.2,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M065,1,101.6,8.8,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M066,2,125.4,17.1,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M067,3,145.6,27.3,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M068,4,162.8,38.8,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M069,5,177.5,50.8,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M070,6,190.1,63.0,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M071,7,200.7,74.7,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M072,8,209.8,85.9,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M073,9,217.6,96.3,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M074,10,224.2,105.7,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M075,11,229.8,114.3,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M076,12,234.6,121.9,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M077,13,238.7,128.7,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M078,14,242.1,134.7,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M079,15,245.1,140.0,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M080,16,247.6,144.5,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M081,17,249.8,148.5,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M082,18,251.6,152.0,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M083,19,253.2,155.0,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_M084,20,254.5,157.5,M,Western_Central_North_Pacific,Semba_2009_Pacific_Male,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,231.0,0.16,59.7,128
WES_F085,0,73.8,3.2,F,Western_Central_North_Pacific,Semba_2009_Pacific_Female,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,308.3,0.09,59.7,147
WES_F086,1,97.3,7.7,F,Western_Central_North_Pacific,Semba_2009_Pacific_Female,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf,Age_and_growth_analysis_of_the_shortfin_mako_Isuru.pdf; Table 2; Page 9,vbgf,308.3,0.09,59.7,147
