# Shortfin Mako Shark (Isurus oxyrinchus) Growth Data - SORTED BY REGION
# =========================================================================
# 
# This CSV contains approximately 500 age-length-weight data points generated from
# VERIFIED von Bertalanffy Growth Model (VBGM) parameters published in peer-reviewed studies.
#
# SOURCE: Table 3 - Growth studies conducted with shortfin mako by authors in different locations
#         [updated from Natanson et al. (2006)]
#         Image: data/Screenshot 2025-12-19 at 10.44.35.png
#
# REGIONS INCLUDED (sorted alphabetically):
# - China (Hsu 2003)
# - Pacific_Australia (Chan 2001)
# - Pacific_Baja (Ribot-Carballal et al. 2005)
# - Pacific_California (Cailliet and Bedford 1983)
# - Pacific_Chile (Cerna and Licandeo 2009)
# - Pacific_New_Zealand (Bishop et al. 2006) - Males only (female parameters unrealistic)
# - Southwest_SA (Doño et al. 2014)
# - West_and_Central_SA (This study - fit1)
# - Western_NA (Pratt and Casey 1983, Natanson et al. 2006)
# - Western_and_Central_NP (Semba et al. 2009)
#
# GROWTH EQUATIONS:
# - Von Bertalanffy with t0: L(t) = L_inf * (1 - exp(-k * (t - t0)))
# - Von Bertalanffy with L0: L(t) = L_inf - (L_inf - L0) * exp(-k * t)
#
# LENGTH-WEIGHT RELATIONSHIP:
# W(kg) = 4.4e-6 * FL(cm)^3.14 (Kohler et al. 1996)
#
# NOTES:
# - Data points include realistic measurement noise (±3% CV)
# - Ages derived from realistic age distributions based on longevity data
# - Female Pacific_New_Zealand excluded due to unrealistic Linf (820.1 cm)
#
shark_id,age_years,length_FL_cm,mass_kg,sex,region,source_study,L_inf_cm,K_per_year,t0_or_L0,value_type
C_F030,37.0,322.7,332.0,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F031,37.0,337.7,382.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F032,43.5,346.4,414.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F033,52.5,346.4,414.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_F034,64.5,346.4,414.7,F,China,Hsu_2003,403.62,0.04,-5.27,t0
C_M001,0.5,74.4,3.3,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M002,0.5,72.6,3.1,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M003,0.5,79.0,4.0,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M004,0.5,75.7,3.5,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M005,0.5,73.5,3.2,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M006,0.5,72.6,3.1,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M007,1.0,82.6,4.6,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M008,1.0,76.5,3.6,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M009,1.0,77.0,3.7,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M010,1.0,80.6,4.3,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M011,1.0,81.1,4.3,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M012,1.0,81.1,4.3,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M013,1.0,74.2,3.3,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M014,1.0,83.4,4.7,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M015,1.0,79.1,4.0,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M016,1.5,84.2,4.9,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M017,1.5,85.2,5.1,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M018,1.5,78.6,3.9,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M019,1.5,83.8,4.8,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M020,1.5,81.2,4.4,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M021,1.5,85.1,5.0,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M022,2.0,87.6,5.5,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M023,2.0,91.7,6.4,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M024,2.0,86.7,5.4,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M025,2.0,85.0,5.0,M,China,Hsu_2003,321.8,0.04,-6.07,t0
C_M026,2.5,93.9,6.9,M,China,Hsu_2003,321.8,0.04,-6.07,t0
PA_F001,1.5,143.3,25.9,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F002,3.0,191.7,64.6,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F003,4.0,209.4,85.3,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F004,6.5,261.5,171.5,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F005,7.0,253.9,156.3,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F006,7.0,258.6,165.7,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F007,8.5,274.5,199.7,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F008,9.5,286.1,227.5,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F009,10.0,283.0,219.7,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_F010,11.5,293.7,247.0,F,Pacific_Australia,Chan_2001,349.0,0.15,-1.97,t0
PA_M001,1.0,121.5,15.4,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M002,2.0,155.7,33.7,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M003,2.0,167.9,42.7,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M004,3.5,203.6,78.1,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M005,4.0,208.9,84.8,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M006,4.5,214.5,92.1,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M007,4.5,219.4,98.8,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M008,4.5,217.1,95.6,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M009,5.0,234.6,122.0,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PA_M010,7.0,238.4,128.4,M,Pacific_Australia,Chan_2001,267.0,0.31,-0.95,t0
PB_F001,3.0,116.3,13.5,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F002,3.0,117.2,13.8,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F003,3.5,125.4,17.1,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F004,7.5,169.0,43.5,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F005,8.5,176.5,49.9,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F006,11.0,207.6,83.1,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F007,11.0,200.0,73.9,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F008,13.5,214.5,92.1,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F009,15.0,237.5,126.7,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F010,15.5,245.5,140.6,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F011,17.5,253.5,155.5,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F012,20.0,261.8,172.2,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F013,21.5,274.3,199.2,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F014,22.5,266.5,182.0,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F015,24.0,290.4,238.4,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F016,25.5,290.4,238.4,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F017,26.5,280.7,214.1,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F018,28.0,290.4,238.4,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F019,28.0,290.4,238.4,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F020,28.5,290.4,238.4,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_F021,28.5,290.4,238.4,F,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M001,1.5,102.6,9.1,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M002,4.0,129.3,18.8,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M003,6.5,161.0,37.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M004,9.0,185.4,58.2,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M005,9.5,187.7,60.5,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M006,9.5,183.3,56.2,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M007,10.5,204.8,79.6,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M008,12.0,204.5,79.2,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M009,14.0,227.0,110.1,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M010,17.5,249.2,147.5,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M011,20.0,273.9,198.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M012,23.5,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M013,24.0,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M014,25.5,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M015,26.0,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M016,27.0,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M017,29.0,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M018,31.5,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M019,35.0,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M020,38.0,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PB_M021,42.5,290.4,238.4,M,Pacific_Baja,Ribot_Carballal_2005,375.4,0.05,-4.7,t0
PC_F001,2.0,92.2,6.5,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F002,5.0,141.8,25.1,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F003,7.5,165.2,40.6,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F004,10.5,187.6,60.4,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F005,14.5,205.4,80.4,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F006,15.5,225.2,107.3,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F007,22.5,260.4,169.3,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F008,24.5,249.8,148.6,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F009,26.0,256.5,161.5,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F010,26.5,260.7,169.9,F,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M001,2.5,103.5,9.3,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M002,5.0,141.8,25.1,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M003,11.5,200.2,74.1,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M004,11.5,198.0,71.6,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M005,14.5,212.6,89.6,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M006,19.5,250.1,149.0,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M007,23.0,254.5,157.5,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M008,25.0,249.6,148.2,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M009,28.0,266.0,180.9,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_M010,33.5,280.3,213.4,M,Pacific_California,Cailliet_Bedford_1983,298.0,0.07,-3.75,t0
PC_F001,2.0,96.9,7.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F002,3.5,108.2,10.7,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F003,5.0,141.1,24.7,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F004,5.0,135.0,21.5,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F005,5.0,132.5,20.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F006,6.5,141.6,25.0,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F007,7.0,152.4,31.5,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F008,7.0,155.4,33.5,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F009,7.5,162.6,38.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F010,7.5,160.9,37.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F011,8.0,163.5,39.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F012,8.0,160.8,37.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F013,9.0,165.4,40.7,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F014,9.5,176.7,50.1,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F015,9.5,178.3,51.5,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F016,10.0,182.4,55.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F017,11.0,186.2,59.1,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F018,12.0,199.8,73.7,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F019,12.0,193.7,66.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F020,12.0,190.8,63.7,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F021,12.0,185.6,58.4,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F022,12.5,197.7,71.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F023,12.5,196.0,69.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F024,13.0,198.7,72.4,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F025,13.0,200.6,74.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F026,14.0,210.0,86.1,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F027,14.5,216.2,94.4,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F028,15.0,214.6,92.2,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F029,15.5,220.3,100.1,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F030,16.0,205.8,80.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F031,16.5,214.1,91.5,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F032,17.0,230.8,115.9,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F033,17.0,226.3,109.0,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F034,17.5,217.5,96.2,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F035,17.5,220.6,100.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F036,18.0,229.1,113.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F037,18.5,211.1,87.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F038,19.0,229.2,113.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F039,20.0,236.6,125.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F040,20.5,243.0,136.2,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F041,20.5,233.4,120.0,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F042,21.0,240.3,131.5,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F043,21.5,243.4,136.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F044,22.0,241.2,133.0,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F045,22.0,251.4,151.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F046,22.0,247.0,143.4,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F047,24.0,254.4,157.3,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F048,25.0,252.5,153.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F049,25.5,248.1,145.4,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F050,28.0,271.5,193.0,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F051,29.0,269.6,188.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F052,29.0,277.5,206.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F053,29.0,255.7,159.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F054,29.5,273.2,196.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F055,29.5,257.0,162.4,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F056,29.5,266.8,182.8,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F057,30.5,268.4,186.2,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F058,30.5,270.7,191.2,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F059,32.0,287.5,230.9,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_F060,35.0,280.4,213.6,F,Pacific_Chile,Cerna_Licandeo_2009,295.73,0.07,-3.18,t0
PC_M001,0.5,75.4,3.5,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M002,0.5,76.9,3.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M003,1.5,88.5,5.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M004,2.0,95.5,7.3,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M005,3.5,116.9,13.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M006,3.5,116.7,13.6,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M007,4.5,123.0,16.0,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M008,4.5,123.4,16.2,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M009,4.5,129.0,18.6,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M010,4.5,133.6,20.8,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M011,4.5,122.6,15.9,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M012,5.0,133.0,20.5,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M013,6.0,147.6,28.5,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M014,6.0,144.6,26.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M015,7.0,158.4,35.6,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M016,7.0,146.9,28.0,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M017,8.0,165.1,40.5,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M018,8.0,160.6,37.1,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M019,8.5,167.8,42.6,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M020,9.5,180.9,53.9,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M021,10.0,178.0,51.2,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M022,10.0,172.6,46.5,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M023,10.0,174.1,47.8,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M024,10.5,177.8,51.1,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M025,11.0,177.6,50.9,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
PC_M026,11.5,185.9,58.7,M,Pacific_Chile,Cerna_Licandeo_2009,268.07,0.08,-3.58,t0
